run,event,E_beam,Ctrk(N),Ctrk(SumP),ECAL(N),ECAL(SumE),HCAL(N),HCAL(SumE),myon_n,
5227,989,45.57,36,53.3,41,33.2,12,16.3,1,screenshot
,1140,,28,13.9,32,58.4,24,5.5,2,
,1203,,39,40.4,43,58.8,7,0.6,0,
,1288,,21,43.3,32,50.8,17,203.9,0,
,1455,,30,3.2,38,37.2,8,3.3,0,
,1586,,22,293.1,31,52.9,14,15.7,0,
,1675,,34,39.8,45,50.7,6,13.5,0,
,1837,,39,72,47,41.4,15,25,1,
,1997,,20,66.2,22,23.8,20,15.9,1,
,2109,,25,49.7,33,37.8,16,48.7,1,
,2205,,25,53.8,34,53.2,17,17.7,1,
,2320,,53,13.2,38,51.5,6,6,0,
,2474,,30,60.2,39,37.8,18,84.6,3,
,2658,,37,18.9,43,58.8,14,9,0,
,2754,,23,60.9,34,53.4,27,28.4,1,
,2884,,27,48.7,40,57,8,9.5,1,
,2995,,9,59.8,18,55.6,13,23.3,1,
,3184,,31,58.6,50,43.9,18,29.3,2,
,3290,,19,45.3,36,73.2,9,3.4,0,
,3473,,33,51.3,47,48.1,16,35.5,1,
