run,event,E_beam,Ctrk(N),Ctrk(SumP),ECAL(N),ECAL(SumE),HCAL(N),HCAL(SumE),myon_n,
5227,2762,45.57,2,87.7,5.0,3.0,7,9.3,1,screenshot
5227,2911,45.57,2,87.0,3.0,1.8,6,10.0,2,
5227,3092,45.57,2,93.0,3.0,1.3,4,2.6,2,
5227,3112,45.57,2,80.9,10.0,3.1,7,4.7,1,
5227,3167,45.57,4,92.3,6.0,1.7,4,5.5,2,
5227,3245,45.57,2,89.0,5.0,3.1,4,5.3,3,
5227,3439,45.57,2,93.4,5.0,1.7,4,1.8,2,
5227,3595,45.57,7,94.3,4.0,1.3,5,3.9,2,
5227,3862,45.57,2,86.5,5.0,6.2,4,44.7,1,
5227,3981,45.57,2,90.3,4.0,2.5,4,18.8,2,
5227,4168,45.57,2,83.2,3.0,1.8,4,4.9,2,
5227,4196,45.57,2,96.1,5.0,1.8,24,10.7,3,
5227,5057,45.57,2,92.6,8.0,2.3,5,11.3,2,
5227,5397,45.57,2,87.3,7.0,10.6,6,9.7,2,
5227,5536,45.57,2,106.1,7.0,2.2,6,9.8,1,
5227,6116,45.57,2,92.7,3.0,1.6,5,7.2,2,
5227,6173,45.57,2,29.0,3.0,3.2,4,0.5,1,
5227,6358,45.57,2,82.8,4.0,1.7,3,5.3,3,
5227,6709,45.57,4,84.1,8.0,9.0,2,1.3,0,
5227,7097,45.57,2,90.5,3.0,1.3,6,9.1,2,
