run,event,E_beam,Ctrk(N),Ctrk(SumP),ECAL(N),ECAL(SumE),HCAL(N),HCAL(SumE),myon_n
5227,1532,45.57,2,33.9,6,52.0,5,13.6,0
5227,1663,45.57,3,0.0,5,31.1,1,0.3,0
5227,2252,45.57,14,44.7,7,35.7,5,3.3,0
5227,2564,45.57,6,2.0,8,90.8,2,0.7,0
5227,2954,45.57,6,67.0,8,45.0,8,33.6,0
5227,3913,45.57,2,99.3,7,16.6,5,16.8,2
5227,4083,45.57,4,45.8,6,40.1,8,38.2,0
5227,4628,45.57,8,0.0,7,70.8,0,0.0,0
5227,4692,45.57,2,30.4,9,21.7,5,7.5,1
5227,5753,45.57,2,41.1,6,40.6,2,2.6,1
5227,5821,45.57,2,26.9,10,51.8,0,0.0,0
5227,6533,45.57,4,64.6,10,29.8,7,9.2,0
5227,6541,45.57,13,44.9,14,37.5,2,2.2,0
5227,6724,45.57,2,25.0,6,44.9,5,4.1,1
5227,7093,45.57,2,29.8,9,36.5,7,23.4,0
5227,7228,45.57,4,42.0,6,42.4,2,0.5,0
5227,7667,45.57,2,22.4,6,17.1,2,10.3,1
5227,7877,45.57,4,13.1,17,29.0,0,0.0,0
5227,8109,45.57,4,47.7,9,25.1,2,2.0,0
5227,8485,45.57,2,30.4,7,24.4,2,0.8,0
