RUN,EVENT,Ctrk(Sump),Ctrk(N),Ecal(SumE),Hcal(SumE),Comment
5227,1176,84.7,6,1.4,2.4,2
5227,1326,89.5,2,1.6,13.4,2
5227,1369,98.2,2,2.6,9.9,2
5227,1384,105.1,2,1.8,6.6,2
5227,1577,84.1,2,5.4,13.8,2
5227,1851,88.1,2,1.5,3.5,2
5227,2295,119.1,2,2.1,6.2,2
5227,2443,87.3,4,5.3,30.3,2
5227,2762,87.7,2,3.0,9.3,1
5227,2911,87.0,2,1.8,10.0,2
5227,3092,93.0,2,1.3,2.6,2
5227,3112,80.9,2,3.1,4.7,1
5227,3167,92.3,4,1.7,5.5,2
5227,3245,89.0,2,3.1,5.3,3
5227,3439,93.4,2,1.7,1.8,2
5227,3595,94.3,7,1.3,3.9,2
5227,3862,86.5,2,6.2,44.7,1
5227,3981,90.3,2,2.5,18.8,2
5227,4168,83.2,2,1.8,4.9,2
5227,4196,96.1,2,1.8,10.7,3
