RUN,EVENT,Ctrk(Sump),Ctrk(N),Ecal(SumE),Hcal(SumE),Comment
5227,714,43.8,4,8.2,2.0,0
5227,934,31.4,2,36.1,0.2,0
5227,984,43.0,2,31.7,2.4,1
5227,1402,37.6,5,43.0,0.6,0
5227,1524,55.0,2,49.7,36.8,0
5227,1532,33.9,2,52.0,13.6,0
5227,1663,0.0,3,31.1,0.3,0
5227,2252,44.7,14,35.7,3.3,0
5227,2564,2.0,6,90.8,0.7,0
5227,2954,67.0,6,45.0,33.6,0
5227,3913,99.3,2,16.6,16.8,2
5227,4083,45.8,4,40.1,38.2,0
5227,4628,0.0,8,70.8,0.0,0
5227,4692,30.4,2,21.7,7.5,1
5227,5753,41.1,2,40.6,2.6,1
5227,5821,26.9,2,51.8,0.0,0
5227,6533,64.6,4,29.8,9.2,0
5227,6541,44.9,13,37.5,2.2,0
5227,6724,25.0,2,44.9,4.1,1
5227,7093,29.8,2,36.6,23.4,0
